Hours since 1 January 2017 00:00,Measured grid demand (MW)
711,8155.88
711.5,8270.06
712,8438.14
712.5,8530.5
713,8531.79
713.5,8530.95
714,8512.22
714.5,8393.33
715,8448.12
715.5,8452.07
716,8440.8
716.5,8264.84
717,7957.87
717.5,7767.11
718,7437.76
718.5,7124.58
719,6947.7
719.5,6665.86
720,6375.39
720.5,6240.13
721,6165.69
721.5,5990.61
722,5924.95
722.5,5930.48
723,5915.52
723.5,5897.84
724,5861.93
724.5,5866.32
725,5920.25
725.5,6089.04
726,6273.21
726.5,6503.19
727,6667.48
727.5,7180.53
728,7341.93
728.5,7410.6
729,7421.49
729.5,7483.11
730,7515.29
730.5,7549.96
731,7603.17
731.5,7673.91
732,7709.34
732.5,7852.61
733,7943.77
733.5,8032.93
734,8124.09
734.5,8288.47
735,8330.5
735.5,8345.96
736,8492.74
736.5,8707.23
737,8721.08
737.5,8725.61
738,8668.21
738.5,8490.43
739,8506.81
739.5,8428.94
740,8384.63
740.5,8298.13
741,8043.69
741.5,7894.58
742,7611.94
742.5,7265.97
743,7117.27
743.5,6747.14
744,6457.86
744.5,6292.74
745,6044.19
745.5,5972.38
746,5996.04
746.5,5941.2
747,5934.72
747.5,5929.25
748,5949.46
748.5,5966.31
749,6051.26
749.5,6173.3
750,6291.29
750.5,6614.04
751,6932.18
751.5,7270.94
752,7404.51
752.5,7483.18
753,7533.86
753.5,7616.07
754,7692.91
754.5,7735.58
755,7807.97
755.5,7850.64
756,7973.82
756.5,7880.87
757,8111.63
757.5,8187.47
758,8284.91
758.5,8399.08
759,8421.25
759.5,8408.74
760,8742.8
760.5,8873.85
761,8792.06
761.5,8760.61
762,8738.19
762.5,8627.4
763,8709.12
763.5,8659.89
764,8630.82
764.5,8484.64
765,8208.9
765.5,8009.08
766,7715.45
766.5,7372.56
767,7133.62
767.5,6888.85
768,6499.53
768.5,6413.26
769,6368.2
769.5,6236.11
770,6143.93
770.5,6130.72
771,6122.68
771.5,6101.76
772,6093.71
772.5,6116.34
773,6176.16
773.5,6314.68
774,6452.15
774.5,6692.61
775,6950.11
775.5,7339.32
776,7478.55
776.5,7594.1
777,7595.63
777.5,7647.47
778,7750.41
778.5,7847.12
779,7912.72
779.5,8070.73
780,8171.46
780.5,8260.17
781,8324.56
781.5,8178.46
782,8340.03
782.5,8514.51
783,8593.48
783.5,8656.84
784,8713.58
784.5,8870.9
785,8995.63
785.5,8971.09
786,8868.14
786.5,8804.45
787,8845.48
787.5,8799.77
788,8713.66
788.5,8655.82
789,8445.92
789.5,8189.77
790,7913.27
790.5,7421.61
791,7204.6
791.5,6914.54
792,6525.31
792.5,6456.52
793,6415.71
793.5,6251.46
